UserID,CourseID,TransactionDate,Amount,UserAge,UserGender,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating
U00003,CR00016,10/25/2025,0,33,Female,Digital Marketing,Marketing,Free,Intermediate,0,42.68,4.72
U00048,CR00016,3/21/2025,0,19,Male,Digital Marketing,Marketing,Free,Intermediate,0,42.68,4.72
U00018,CR00001,3/24/2025,472.28,24,Female,Python Basics,Programming,Paid,Beginner,472.28,11,4.74
U00003,CR00037,1/13/2025,0,33,Female,Scrum Essentials,Project Management,Free,Intermediate,0,33.93,3.45
U00048,CR00037,5/25/2025,0,19,Male,Scrum Essentials,Project Management,Free,Intermediate,0,33.93,3.45
U00030,CR00037,11/15/2025,0,34,Male,Scrum Essentials,Project Management,Free,Intermediate,0,33.93,3.45
U00027,CR00037,7/25/2025,0,31,Male,Scrum Essentials,Project Management,Free,Intermediate,0,33.93,3.45
U00003,CR00019,3/28/2025,0,33,Female,Content Marketing,Marketing,Free,Advanced,0,18,2.98
U00015,CR00019,7/14/2025,0,27,Female,Content Marketing,Marketing,Free,Advanced,0,18,2.98
U00013,CR00003,10/5/2025,0,33,Female,C++ for Beginners,Programming,Free,Beginner,0,19.53,3.85
U00004,CR00048,6/2/2025,0,23,Female,AI Ethics,Artificial Intelligence,Free,Beginner,0,42.7,3.64
U00002,CR00004,7/15/2025,0,29,Female,Advanced Python,Programming,Free,Beginner,0,45.13,2.88
U00020,CR00004,7/17/2025,0,27,Female,Advanced Python,Programming,Free,Beginner,0,45.13,2.88
U00005,CR00004,12/3/2025,0,21,Male,Advanced Python,Programming,Free,Beginner,0,45.13,2.88
U00004,CR00025,5/7/2025,299.57,23,Female,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74
U00048,CR00025,5/8/2025,299.57,19,Male,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74
U00011,CR00025,9/24/2025,299.57,15,Female,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74
U00009,CR00006,6/19/2025,276.37,20,Female,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72
U00013,CR00032,9/29/2025,0,33,Female,Ethical Hacking,Cybersecurity,Free,Advanced,0,16.74,2.38
U00021,CR00032,5/8/2025,0,15,Male,Ethical Hacking,Cybersecurity,Free,Advanced,0,16.74,2.38
U00027,CR00032,10/8/2025,0,31,Male,Ethical Hacking,Cybersecurity,Free,Advanced,0,16.74,2.38
U00015,CR00045,4/27/2025,0,27,Female,Financial Modeling,Finance,Free,Advanced,0,6.36,1.59
U00018,CR00045,1/12/2025,0,24,Female,Financial Modeling,Finance,Free,Advanced,0,6.36,1.59
U00045,CR00045,7/10/2025,0,23,Female,Financial Modeling,Finance,Free,Advanced,0,6.36,1.59
U00015,CR00046,2/19/2025,248.1,27,Female,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2
U00018,CR00046,5/22/2025,248.1,24,Female,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2
U00019,CR00009,11/10/2025,0,24,Female,Web Design Fundamentals,Design,Free,Beginner,0,48.19,4.51
U00023,CR00009,6/14/2025,0,32,Male,Web Design Fundamentals,Design,Free,Beginner,0,48.19,4.51
U00015,CR00040,12/22/2025,327.99,27,Female,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51
U00028,CR00040,5/6/2025,327.99,30,Female,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51
U00026,CR00040,11/6/2025,327.99,19,Male,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51
U00028,CR00010,8/12/2025,0,30,Female,3D Modeling,Design,Free,Advanced,0,15.29,4.45
U00029,CR00011,7/9/2025,326.02,30,Male,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69
U00018,CR00047,4/21/2025,89.59,24,Female,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68
U00028,CR00056,3/4/2025,212.39,30,Female,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15
U00013,CR00056,8/28/2025,212.39,33,Female,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15
U00028,CR00021,4/17/2025,0,30,Female,Data Analysis with Python,Data Science,Free,Intermediate,0,1.2,3.6
U00032,CR00015,4/10/2025,285.05,18,Male,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96
U00028,CR00031,4/20/2025,0,30,Female,Network Security,Cybersecurity,Free,Intermediate,0,26.52,1.91
U00007,CR00031,3/8/2025,0,24,Male,Network Security,Cybersecurity,Free,Intermediate,0,26.52,1.91
U00045,CR00043,5/6/2025,0,23,Female,Corporate Finance,Finance,Free,Beginner,0,31.77,4.14
U00016,CR00017,9/27/2025,0,32,Male,SEO Mastery,Marketing,Free,Advanced,0,29.37,4.79
U00004,CR00017,5/9/2025,0,23,Female,SEO Mastery,Marketing,Free,Advanced,0,29.37,4.79
U00045,CR00036,4/28/2025,0,23,Female,Agile Project Management,Project Management,Free,Beginner,0,15.75,4.68
U00022,CR00036,5/20/2025,0,31,Male,Agile Project Management,Project Management,Free,Beginner,0,15.75,4.68
U00045,CR00035,7/27/2025,0,23,Female,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0,42.59,4.94
U00048,CR00022,11/19/2025,0,19,Male,Data Visualization,Data Science,Free,Beginner,0,32.64,3.65
U00001,CR00034,11/2/2025,394.26,15,Male,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35
U00014,CR00027,4/11/2025,0,30,Male,Neural Networks,Machine Learning,Free,Advanced,0,9.3,1.81
U00006,CR00028,11/19/2025,0.78,21,Male,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89
